date,totalUsers,engagedSessions,sessions,,,,,,,,,,,,,,,,,,,,,,2026-05-20T22:00:13.000Z
20260517,274,128,276,,,,,,,,,,,,,,,,,,,,,,
20260119,269,137,270,,,,,,,,,,,,,,,,,,,,,,
20260207,269,121,271,,,,,,,,,,,,,,,,,,,,,,
20260201,246,123,245,,,,,,,,,,,,,,,,,,,,,,
20260116,242,150,245,,,,,,,,,,,,,,,,,,,,,,
20260228,238,92,239,,,,,,,,,,,,,,,,,,,,,,
20260109,236,136,238,,,,,,,,,,,,,,,,,,,,,,
20260221,227,100,230,,,,,,,,,,,,,,,,,,,,,,
20260308,225,86,226,,,,,,,,,,,,,,,,,,,,,,
20260102,183,76,184,,,,,,,,,,,,,,,,,,,,,,
20260104,183,90,184,,,,,,,,,,,,,,,,,,,,,,
20260329,166,79,169,,,,,,,,,,,,,,,,,,,,,,
20260118,163,78,165,,,,,,,,,,,,,,,,,,,,,,
20260124,149,56,150,,,,,,,,,,,,,,,,,,,,,,
20260125,144,77,145,,,,,,,,,,,,,,,,,,,,,,
20260111,139,68,142,,,,,,,,,,,,,,,,,,,,,,
20260117,122,51,125,,,,,,,,,,,,,,,,,,,,,,
20260110,120,52,120,,,,,,,,,,,,,,,,,,,,,,
20260131,116,55,120,,,,,,,,,,,,,,,,,,,,,,
20260103,96,40,98,,,,,,,,,,,,,,,,,,,,,,
